,genre,score,budget,gross,seq
145,7,6.0,3000000.0,4109095.0,1
146,1,8.0,4500000.0,13417292.0,0
147,4,7.2,25000000.0,11135803.0,0
148,0,6.9,7000000.0,409144.0,0
149,7,6.2,38000000.0,17380126.0,0
150,3,4.2,25000000.0,2491989.0,0
151,5,6.7,60000000.0,26673829.0,0
152,2,6.5,110000000.0,333011068.0,1
153,1,7.2,3500000.0,257938649.0,0
154,4,6.9,10000000.0,2158775.0,0
155,1,6.4,25000000.0,9381260.0,0
156,1,3.5,25000000.0,29342592.0,0
157,3,5.9,29000000.0,22619589.0,0
158,5,5.8,40000000.0,33956608.0,0
159,1,5.1,25000000.0,26570463.0,0
160,3,6.5,18000000.0,251212670.0,1
161,1,6.4,12000000.0,4366722.0,0
162,0,7.5,8000000.0,106404.0,0
163,1,6.8,3300000.0,127923.0,0
164,0,6.8,9000000.0,334319.0,0
165,2,7.3,55000000.0,41616262.0,0
166,4,7.4,30000000.0,82150642.0,1
167,1,6.7,6000000.0,11841544.0,0
168,7,7.5,30000000.0,16316273.0,0
169,7,7.5,6000.0,48482.0,0
170,1,7.4,3000000.0,55257450.0,0
171,1,6.7,65000000.0,52090187.0,0
172,3,6.1,12000000.0,1263279.0,0
173,1,7.1,42000000.0,363889678.0,0
174,2,6.4,135000000.0,361832400.0,1
175,5,6.8,15000000.0,2856712.0,0
176,4,7.4,82000000.0,47434430.0,0
177,0,7.5,30000.0,217244.0,0
178,3,7.0,12000000.0,2062405.0,0
179,1,6.4,11000000.0,16071990.0,0
180,0,7.1,23000000.0,10827816.0,0
181,1,5.9,75000000.0,54264342.0,0
182,1,6.8,14000000.0,18542974.0,0
183,0,6.8,14000000.0,206128.0,0
184,0,5.4,4000000.0,164022.0,0
185,3,7.7,26000000.0,71870729.0,0
186,1,7.5,30000000.0,47126295.0,0
187,0,7.2,25000000.0,152699976.0,1
188,0,7.7,5000000.0,109283018.0,0
189,4,7.3,13500000.0,17989227.0,0
190,0,6.4,60000000.0,71732303.0,0
191,0,6.9,8000000.0,11155214.0,0
192,3,4.2,19000000.0,19748009.0,1
193,1,6.9,10000000.0,28741330.0,0
194,2,4.6,25000000.0,15843608.0,1
195,12,7.0,10000000.0,5164404.0,0
196,12,6.0,13000000.0,299792.0,1
197,3,7.6,125000000.0,1006968171.0,1
198,1,6.7,25000000.0,281995610.0,1
199,0,5.9,57000000.0,62112895.0,0
200,2,6.3,27000000.0,12881605.0,0
201,4,7.0,5500000.0,16153953.0,0
202,1,6.8,15000000.0,2300684.0,0
203,1,6.1,13000000.0,16171098.0,0
204,0,6.4,20000000.0,5323109.0,0
205,4,8.5,35000000.0,120072577.0,0
206,3,7.4,100000000.0,879602366.0,1
207,2,6.7,33000000.0,102984862.0,1
208,0,7.6,8000000.0,85720385.0,1
209,1,6.8,15000000.0,18009625.0,0
210,2,7.7,35000000.0,75395048.0,0
211,2,6.1,142000000.0,431971116.0,1
212,1,7.1,30000000.0,130549455.0,0
213,1,5.6,17000000.0,95146283.0,0
214,1,6.3,50000000.0,8382938.0,0
215,2,6.5,35000000.0,29882645.0,0
216,1,3.6,10000000.0,1036520.0,0
217,7,7.3,10000000.0,13904766.0,0
218,0,6.7,100000000.0,65716126.0,0
219,3,7.1,10000000.0,3651462.0,0
220,0,7.1,30000000.0,27674124.0,0
221,7,3.4,40000000.0,18902015.0,0
222,4,5.8,1200000.0,68716.0,0
223,0,7.5,9000000.0,2845696.0,0
224,0,6.3,25000000.0,14815898.0,0
225,7,7.0,11000000.0,4247089.0,0
226,1,7.6,40000000.0,245203167.0,0
227,0,7.2,15000000.0,24152155.0,0
228,3,6.8,100000000.0,121975011.0,1
229,13,5.3,12000000.0,23726793.0,0
230,4,6.9,12000000.0,33030115.0,0
231,2,6.2,40000000.0,160466000.0,1
232,2,5.5,60000000.0,73498611.0,0
233,1,6.9,10000000.0,93400759.0,0
234,7,6.4,6400000.0,2561820.0,0
235,0,6.9,8000000.0,6586341.0,0
236,0,6.2,7500000.0,886018.0,0
237,0,6.8,2500000.0,3039587.0,0
238,3,7.9,130000000.0,797361618.0,1
239,0,7.2,70000000.0,154649125.0,0
240,4,8.1,17500000.0,33882243.0,0
241,1,6.2,7000000.0,24716440.0,0
242,1,6.3,31000000.0,41682237.0,0
243,1,6.0,40000000.0,265126918.0,1
244,2,4.3,57000000.0,28283637.0,0
245,0,6.2,20000000.0,23925492.0,0
246,1,6.6,20000000.0,20094909.0,0
247,1,6.2,60000000.0,35060882.0,0
248,0,7.0,30000000.0,21560182.0,0
249,4,6.7,23000000.0,8447615.0,0
250,1,6.5,6500000.0,89781.0,0
251,7,7.6,11000000.0,13267869.0,0
252,4,7.3,2000000.0,1635056.0,0
253,3,7.7,150000000.0,896678241.0,1
254,2,8.2,150000000.0,373661946.0,1
255,3,6.6,150000000.0,474968763.0,1
256,3,6.9,180000000.0,745013115.0,0
257,2,7.2,130000000.0,218122627.0,0
258,3,6.7,50000000.0,104478416.0,0
259,0,7.6,15000000.0,85638656.0,0
260,7,6.4,80000000.0,162944923.0,0
261,0,7.4,25000000.0,82468097.0,0
262,3,6.8,4000000.0,866999.0,0
263,2,6.0,130000000.0,119240351.0,0
264,2,5.2,60000000.0,58072119.0,1
265,1,6.8,7900000.0,2635305.0,0
266,6,7.4,30000000.0,194137091.0,1
267,2,7.0,45000000.0,50871113.0,0
